time,open,high,low,close,volume
2021-02-11 08:15:00,121.9603,122.23,121.94,122.23,1165
2021-02-11 08:00:00,122.3,122.3,122.3,122.3,200
2021-02-11 07:30:00,122.2,122.2,122.2,122.2,802
2021-02-11 04:45:00,121.93,121.93,121.93,121.93,181
2021-02-10 19:15:00,122.02,122.02,122.02,122.02,200
2021-02-10 18:15:00,122.14,122.14,122.14,122.14,200
2021-02-10 18:00:00,122.1,122.1,122.1,122.1,202
2021-02-10 17:45:00,122.03,122.03,122.02,122.02,491
2021-02-10 17:00:00,122.2,122.2,122.2,122.2,723
2021-02-10 16:45:00,121.76,122.0,121.76,122.0,3526
2021-02-10 16:30:00,122.24,122.25,122.24,122.25,11591
2021-02-10 16:15:00,122.24,122.24,122.24,122.24,74378
2021-02-10 16:00:00,121.8,122.27,121.78,122.26,316386
2021-02-10 15:45:00,122.11,122.19,121.7922,121.7922,215440
2021-02-10 15:30:00,122.02600000000001,122.28,122.01,122.1,144973
2021-02-10 15:15:00,121.89,122.16,121.89,122.025,145787
2021-02-10 15:00:00,121.62,121.9,121.57,121.89,118381
2021-02-10 14:45:00,121.36,121.69,121.34,121.6269,126020
2021-02-10 14:30:00,121.43,121.4513,121.2138,121.34,189821
2021-02-10 14:15:00,121.78,121.82,121.42,121.449,157808
2021-02-10 14:00:00,121.815,121.87,121.706,121.77,76990
2021-02-10 13:45:00,121.88,121.9,121.775,121.825,90512
2021-02-10 13:30:00,121.84,121.91,121.8,121.87,80115
2021-02-10 13:15:00,121.7,121.92,121.58,121.84,127745
2021-02-10 13:00:00,121.695,121.8444,121.61,121.72,100684
2021-02-10 12:45:00,121.79899999999999,121.8146,121.6249,121.7,110818
2021-02-10 12:30:00,122.19,122.215,121.62,121.82,138637
2021-02-10 12:15:00,122.195,122.23,121.99,122.2299,128403
2021-02-10 12:00:00,122.32,122.43,122.09,122.18,168659
2021-02-10 11:45:00,122.3302,122.56,122.16,122.3101,106740
2021-02-10 11:30:00,122.48,122.54,122.25,122.354,108711
2021-02-10 11:15:00,122.78,122.85,122.32,122.4799,172439
2021-02-10 11:00:00,121.98,122.83,121.93,122.79,168523
2021-02-10 10:45:00,122.4,122.52,121.94,122.0,196969
2021-02-10 10:30:00,122.95,123.15,122.37,122.39,268710
2021-02-10 10:15:00,122.99,123.2344,122.84,122.95,170711
2021-02-10 10:00:00,123.165,123.27,122.66,122.975,206309
2021-02-10 09:45:00,123.03,123.41,122.45,123.195,793677
2021-02-10 09:30:00,122.55,123.1,122.53,123.06,10269
2021-02-10 09:15:00,122.6,122.86,122.6,122.86,641
2021-02-10 09:00:00,122.4,122.68,122.4,122.68,1423
2021-02-10 08:45:00,122.25,122.45,122.25,122.4,2286
2021-02-10 08:30:00,122.3899,122.3899,122.3899,122.3899,151
2021-02-10 08:15:00,122.5,122.7,122.21,122.3899,2450
2021-02-10 08:00:00,122.48,122.48,122.48,122.48,330
2021-02-10 07:45:00,122.3,122.31,122.25,122.25,888
2021-02-10 07:30:00,122.45,122.45,122.45,122.45,241
2021-02-10 07:15:00,122.5,122.5,122.4,122.4,922
2021-02-10 06:45:00,123.0,123.0,123.0,123.0,499
2021-02-09 20:00:00,122.45,122.45,122.45,122.45,526
2021-02-09 19:45:00,122.36,122.36,122.36,122.36,500
2021-02-09 19:30:00,122.36,122.36,122.33,122.33,2660
2021-02-09 19:15:00,122.33,122.33,122.33,122.33,200
2021-02-09 19:00:00,122.36,122.36,122.36,122.36,505
2021-02-09 18:30:00,122.36,122.36,122.36,122.36,100
2021-02-09 18:15:00,122.1,122.1,122.1,122.1,1519
2021-02-09 18:00:00,122.32,122.32,122.32,122.32,345
2021-02-09 17:45:00,122.3,122.33,122.3,122.31,511
2021-02-09 17:30:00,122.25,122.26,122.25,122.25,1076
2021-02-09 16:45:00,122.3,122.3,122.2,122.2,540
2021-02-09 16:30:00,122.27,122.28,122.27,122.28,2045
2021-02-09 16:15:00,122.1,125.37,122.1,122.1,182612
2021-02-09 16:00:00,122.23,122.28,122.0,122.07,416227
2021-02-09 15:45:00,122.415,122.42,122.225,122.23,171186
2021-02-09 15:30:00,122.38,122.4178,122.26,122.41,105194
2021-02-09 15:15:00,122.2,122.39,122.185,122.38,178949
2021-02-09 15:00:00,122.17,122.23,122.08,122.21,109913
2021-02-09 14:45:00,122.125,122.26,122.125,122.16,106378
2021-02-09 14:30:00,122.17,122.27,122.11,122.11,118463
2021-02-09 14:15:00,122.05,122.205,122.0422,122.1999,81900
2021-02-09 14:00:00,122.16,122.21,122.03,122.045,107431
2021-02-09 13:45:00,122.1584,122.34,122.139,122.169,123473
2021-02-09 13:30:00,122.4116,122.4199,122.14,122.14,108815
2021-02-09 13:15:00,122.5366,122.5366,122.31299999999999,122.41,77702
2021-02-09 13:00:00,122.31,122.5953,122.31,122.535,84948
2021-02-09 12:45:00,122.38,122.41,122.21,122.325,215694
2021-02-09 12:30:00,121.865,122.4099,121.865,122.36,267383
2021-02-09 12:15:00,121.81,121.9399,121.715,121.86,110420
2021-02-09 12:00:00,121.88,121.95,121.81,121.81700000000001,116324
2021-02-09 11:45:00,121.925,122.05,121.81,121.88,106686
2021-02-09 11:30:00,121.98,122.005,121.8107,121.9201,94579
2021-02-09 11:15:00,122.08,122.08,121.66,121.9802,122200
2021-02-09 11:00:00,121.92,122.28,121.74,122.04,180948
2021-02-09 10:45:00,121.655,121.99,121.5741,121.92,129466
2021-02-09 10:30:00,121.515,121.67,121.31,121.67,125557
2021-02-09 10:15:00,121.5,121.69,121.37,121.51,166776
2021-02-09 10:00:00,121.25,121.7,121.23,121.48,174835
2021-02-09 09:45:00,121.9,121.93,121.05,121.25,605762
2021-02-09 09:30:00,121.93,122.0,121.81,121.81,6030
2021-02-09 09:15:00,121.91,122.0,121.61,121.82,5409
2021-02-09 09:00:00,121.67,121.86,121.64,121.86,10161
2021-02-09 08:45:00,121.62,121.75,121.6,121.66,4700
2021-02-09 08:30:00,121.35,121.62,121.35,121.6,7550
2021-02-09 08:15:00,121.99,122.24,121.25,121.25,15073
2021-02-09 07:45:00,121.63,121.63,121.5,121.5,1867
2021-02-09 07:30:00,121.64,121.79,121.5,121.5,5887
2021-02-09 07:15:00,122.19,122.3,121.63,121.63,10347
2021-02-09 07:00:00,122.0,122.0,122.0,122.0,516
2021-02-09 06:30:00,122.0,122.0,122.0,122.0,260
2021-02-09 05:45:00,122.4,122.4,122.4,122.4,608
2021-02-09 05:00:00,122.8,122.8,122.8,122.8,307
2021-02-08 20:00:00,121.88289824600001,121.88289824600001,121.88289824600001,121.88289824600001,206
2021-02-08 19:45:00,121.88289824600001,121.902634769,121.88289824600001,121.902634769,470
2021-02-08 18:45:00,121.97171259999999,121.97171259999999,121.97171259999999,121.97171259999999,350
2021-02-08 18:30:00,121.97171259999999,121.97171259999999,121.97171259999999,121.97171259999999,100
2021-02-08 18:15:00,121.873029985,121.96184433799999,121.873029985,121.96184433799999,1226
2021-02-08 18:00:00,121.95197607700001,121.95197607700001,121.95197607700001,121.95197607700001,100
2021-02-08 17:30:00,121.85329346200001,121.873029985,121.85329346200001,121.873029985,2842
2021-02-08 17:15:00,121.88289824600001,121.88289824600001,121.85329346200001,121.873029985,1498
2021-02-08 17:00:00,121.942107815,122.030922169,121.942107815,121.981580862,10745
2021-02-08 16:45:00,121.942107815,121.981580862,121.942107815,121.981580862,1280
2021-02-08 16:30:00,121.981580862,121.981580862,121.97171259999999,121.97171259999999,1021
2021-02-08 16:15:00,121.981580862,122.021053908,121.942107815,121.942107815,326065
2021-02-08 16:00:00,121.792998384,122.011185646,121.636191708,121.912503031,612024
2021-02-08 15:45:00,121.705269539,121.823688677,121.606586923,121.78421563100001,190784
2021-02-08 15:30:00,121.66579649200001,121.78421563100001,121.603626445,121.70033540799999,158588
2021-02-08 15:15:00,121.76447910799999,121.78421563100001,121.636191708,121.660862362,139577
